Round,LEACH,PEGASIS,HYBRID
91,0.26878739861942424,0.39730185850447325,0.47008882477650543
92,0.26913895621414485,0.39626901677367454,0.46974006671893226
93,0.2658729239852934,0.39528417552677975,0.4694257224659092
94,0.2634046594214673,0.3942719256758035,0.46868613200912307
95,0.26085629716580433,0.393266085683703,0.4682627626473478
96,0.25882462874822715,0.39222681859919845,0.46756393631911153
97,0.2565137621342321,0.39118445429864673,0.46690449280063184
98,0.25448699982864187,0.3901191772564134,0.46656091068933925
99,0.25182370958702194,0.389052744000835,0.4662216415174428
100,0.24965624842571013,0.3875891047753371,0.46594616078483275
