Round,LEACH,PEGASIS,HYBRID,PSO_HYBRID
155,0.18005948964678084,0.3207980958725956,0.33374404278032055,0.5212822069867336
156,0.17776408797967944,0.3197981475261215,0.3319293608195362,0.5202824383861429
157,0.17775279814837128,0.3188079613884961,0.329765643998939,0.5194841278362123
158,0.1783011867599468,0.31781596190254185,0.3272505547212428,0.5186751291439805
159,0.17652644713808482,0.31682953886394216,0.3317151915355758,0.5180408213873915
160,0.17773307368143137,0.315853624626344,0.3317151915355758,0.5165486005631909
161,0.17489480208180613,0.3148835641759531,0.3313673158322245,0.5150730356696609
162,0.17524116930866945,0.3139104285308203,0.3310021491659584,0.5139434301852733
163,0.1734792342312577,0.3129268973975127,0.3306111284194383,0.5128895716843894
164,0.1719610417836992,0.3119407334319101,0.3301639944956762,0.5117908412931771
165,0.1723302332918313,0.314097244768798,0.3296885107653012,0.5108178120192085
166,0.1704280782340774,0.3131093645888697,0.32922767471559217,0.5095935923739774
167,0.16868471400978327,0.3121209028400277,0.32861725956957166,0.5082888577996276
168,0.1670021895169169,0.3111496314866619,0.3279834403982835,0.5066990059156449
169,0.16624385295847743,0.3101888258336014,0.32722847392205123,0.5053021841255974
170,0.16425437160798032,0.3092245510227148,0.32616037814862847,0.5040142271440984
171,0.16207287270172524,0.3082668149868908,0.32460193370901824,0.5030430743029957
172,0.16237316008124014,0.3073023325057998,0.32296417801179955,0.5021262386094754
173,0.16115197187753183,0.3063341289308549,0.3209066223214614,0.5011988888447622
174,0.16191749630098876,0.3053639570457835,0.31896431243767415,0.5001995650921063
175,0.15989420289409909,0.30438388484171225,0.3172290932664889,0.49899889526170355
176,0.1580036574290054,0.3034124883737836,0.31507864097368316,0.49777021208191
177,0.15597661403728505,0.3024322192537471,0.31272339192020954,0.49643390973759643
178,0.15423152325272388,0.30145248120280116,0.31010898733531883,0.4954505208211629
179,0.15259999983974606,0.30046221731624234,0.31989031211222435,0.49457795362381796
180,0.1511806876786684,0.29946667903127766,0.31989031211222435,0.49352250048402724
181,0.15186767049678987,0.29845420569715275,0.3195866693427857,0.4922900864871632
182,0.1526957028118394,0.29745672733326617,0.31915794652732526,0.4916715341483009
183,0.150782222058235,0.29646353865620995,0.3186932524125986,0.4907330537403953
184,0.1512489526651614,0.2954651804545399,0.31815985919517104,0.4894903525077362
185,0.1520542137807282,0.29447146457077206,0.31761107963388796,0.48852673721739387
186,0.15531764545878832,0.29347063449454674,0.31716435649346825,0.4874073536788459
187,0.15469705999642647,0.2924347097130981,0.31659857266081415,0.4866306777583558
188,0.1514024245084681,0.29139037887704755,0.3159766567031133,0.49056997436927247
189,0.14981376460640564,0.29025119937906513,0.31536136191208247,0.4898029354235038
190,0.14831931660619557,0.2892235203684487,0.31438124133556483,0.4889612994873086
191,0.14645606928842642,0.2881985401337046,0.3129103967586071,0.48803540155931296
192,0.14489084079381767,0.28719435977756874,0.3107541105785899,0.4870505874073645
193,0.14314474186175416,0.28619665402635847,0.3091772376118201,0.4862721966945944
194,0.14338896924548594,0.28516518353534576,0.30733038019851716,0.48564526619771436
195,0.14439523722139103,0.28413058454327506,0.30514724167906443,0.4846269479997028
196,0.1424768571704178,0.2830728413676882,0.30282494625880607,0.48390112315775236
197,0.14089840964449854,0.28201393029983307,0.3003899038371309,0.4830843128056521
198,0.13793413349824632,0.28055380108054456,0.3163851953539658,0.48213438603649106
199,0.13613684720063474,0.2789587633157499,0.3163851953539658,0.4813741661747613
200,0.1359362242357714,0.2774452830954143,0.3163851953539658,0.48070002146687435
201,0.13400079006399665,0.27600276781107264,0.3160661095488559,0.47989721871226676
202,0.1323355200758474,0.27463768611641143,0.31567423676120093,0.47884470548496666
203,0.13074527630421343,0.2732209159827312,0.3152995916451623,0.4779096035478627
204,0.13165810575477768,0.2717849528940205,0.31475669793253475,0.4770847428823385
205,0.12976913803550744,0.2702869593713522,0.3142581239865049,0.47597902377300405
206,0.1300416078937617,0.2689062542423198,0.31385646269556505,0.4752298196700737
207,0.13123291829633518,0.267584425299727,0.31325992991211876,0.4745162477056125
208,0.12982616135771508,0.26632481235231426,0.3124991651475414,0.47369484704288123
209,0.12686855996287627,0.26504994327597226,0.3117492729963377,0.4730611555708025
210,0.12256288060394288,0.2638938209219787,0.3107613366028538,0.47241921360588296
211,0.12096258402305451,0.26271671234311716,0.30945620075819213,0.4714576927374074
212,0.11934514773216273,0.26158559216566435,0.3078284667751642,0.47060361890935704
213,0.1175683732325164,0.2604929685514579,0.3056197923013667,0.4699508648439486
214,0.11567445497792697,0.25941870659664973,0.3036041982294807,0.4692923921892787
215,0.1140741865768132,0.2583384202412176,0.3013063215639486,0.4683549092412915
216,0.11245023838253596,0.2572365850972747,0.2987126984547384,0.4674585990667664
217,0.10984652309867485,0.2561490874821377,0.299775800858773,0.4667565762748756
218,0.10688580990002783,0.2550603067412795,0.299775800858773,0.46568308751059595
