Round,LEACH_Alive,LEACH_Energy,PEGASIS_Alive,PEGASIS_Energy,HYBRID_Alive,HYBRID_Energy
748,0,0.0,0,0.0,3,0.1417464685059778
749,0,0.0,0,0.0,3,0.1400151999532168
750,0,0.0,0,0.0,3,0.1382839314004558
751,0,0.0,0,0.0,3,0.1371709739985538
752,0,0.0,0,0.0,3,0.13572569326631456
753,0,0.0,0,0.0,3,0.13399442471355358
754,0,0.0,0,0.0,3,0.13226315616079257
755,0,0.0,0,0.0,3,0.13053188760803158
756,0,0.0,0,0.0,3,0.1288006190552706
757,0,0.0,0,0.0,3,0.1270693505025096
758,0,0.0,0,0.0,3,0.1253380819497486
759,0,0.0,0,0.0,3,0.1236068133969876
760,0,0.0,0,0.0,3,0.12187554484422662
761,0,0.0,0,0.0,3,0.12014427629146562
762,0,0.0,0,0.0,3,0.11841300773870463
763,0,0.0,0,0.0,3,0.11668173918594364
764,0,0.0,0,0.0,3,0.11495047063318264
765,0,0.0,0,0.0,3,0.11321920208042163
766,0,0.0,0,0.0,3,0.11148793352766063
767,0,0.0,0,0.0,3,0.10975666497489965
768,0,0.0,0,0.0,3,0.10802539642213864
769,0,0.0,0,0.0,3,0.10629412786937764
770,0,0.0,0,0.0,3,0.10456285931661664
771,0,0.0,0,0.0,3,0.10283159076385566
772,0,0.0,0,0.0,3,0.10110032221109466
773,0,0.0,0,0.0,3,0.09936905365833365
774,0,0.0,0,0.0,3,0.09763778510557265
775,0,0.0,0,0.0,3,0.09590651655281164
776,0,0.0,0,0.0,3,0.09479355915090965
777,0,0.0,0,0.0,3,0.0933482784186704
778,0,0.0,0,0.0,3,0.09161700986590941
779,0,0.0,0,0.0,3,0.0898857413131484
780,0,0.0,0,0.0,3,0.0881544727603874
781,0,0.0,0,0.0,3,0.08642320420762639
782,0,0.0,0,0.0,3,0.0846919356548654
783,0,0.0,0,0.0,3,0.08296066710210441
784,0,0.0,0,0.0,3,0.08122939854934341
785,0,0.0,0,0.0,3,0.07949812999658241
786,0,0.0,0,0.0,3,0.07776686144382142
787,0,0.0,0,0.0,3,0.07603559289106043
788,0,0.0,0,0.0,3,0.07430432433829944
789,0,0.0,0,0.0,3,0.07257305578553842
790,0,0.0,0,0.0,3,0.07084178723277744
791,0,0.0,0,0.0,3,0.06911051868001644
792,0,0.0,0,0.0,3,0.06737925012725544
793,0,0.0,0,0.0,3,0.06564798157449446
794,0,0.0,0,0.0,3,0.06391671302173346
795,0,0.0,0,0.0,3,0.06218544446897247
796,0,0.0,0,0.0,2,0.09081595545590104
797,0,0.0,0,0.0,2,0.08913932622905488
798,0,0.0,0,0.0,2,0.08746269700220874
799,0,0.0,0,0.0,2,0.08578606777536257
800,0,0.0,0,0.0,2,0.08410943854851644
801,0,0.0,0,0.0,2,0.0829505213099253
802,0,0.0,0,0.0,2,0.08127389208307917
803,0,0.0,0,0.0,2,0.079597262856233
804,0,0.0,0,0.0,2,0.07792063362938687
805,0,0.0,0,0.0,2,0.0762440044025407
806,0,0.0,0,0.0,2,0.07456737517569456
807,0,0.0,0,0.0,2,0.0728907459488484
808,0,0.0,0,0.0,2,0.07121411672200224
809,0,0.0,0,0.0,2,0.06953748749515609
810,0,0.0,0,0.0,2,0.06786085826830993
811,0,0.0,0,0.0,2,0.06618422904146377
812,0,0.0,0,0.0,2,0.06450759981461762
813,0,0.0,0,0.0,2,0.06283097058777147
814,0,0.0,0,0.0,2,0.06115434136092531
815,0,0.0,0,0.0,2,0.05947771213407915
816,0,0.0,0,0.0,2,0.057801082907233
817,0,0.0,0,0.0,2,0.05612445368038685
818,0,0.0,0,0.0,2,0.05444782445354069
819,0,0.0,0,0.0,2,0.05277119522669453
820,0,0.0,0,0.0,2,0.05109456599984838
821,0,0.0,0,0.0,2,0.04941793677300223
822,0,0.0,0,0.0,2,0.04774130754615607
823,0,0.0,0,0.0,2,0.04606467831930991
824,0,0.0,0,0.0,2,0.044388049092463744
825,0,0.0,0,0.0,2,0.042711419865617585
826,0,0.0,0,0.0,2,0.041552502627026464
